"sweep_date","source","key","outcome","n_cells","note"
"2026-07-21","statcan","98-10-0345-01","decoded_clean","1578838",""
"2026-07-21","statcan","98-10-0295-01","decoded_clean","6037811",""
"2026-07-21","statcan","98-10-0535-01","decoded_clean","30698",""
"2026-07-21","statcan","98-400-X2016257","decoded_clean","11911095",""
"2026-07-21","statcan","95F0235XDB96005","decoded_clean","1576481",""
"2026-07-21","statcan","98-10-0143-01","decoded_clean","10496798",""
"2026-07-21","statcan","97F0008XCB2001007","decoded_fallback","85734","canivt_geo_datadim"
"2026-07-21","statcan","95F0325XCB2001001","decoded_fallback","12495","canivt_descriptor_from_slots"
"2026-07-21","statcan","97-563-XCB2006033","decoded_clean","456367",""
"2026-07-21","statcan","95F0232XDB96004","decoded_clean","150333",""
"2026-07-21","borealis","SP3/OCDMVE/oassv_tab04","http_403_blocked","","fetch: cannot open URL 'https://borealisdata.ca/api/access/d"
"2026-07-21","borealis","SP3/Q2JJJO/table_5_c-ivt-2008","onboarded_fixed","35237","used<=alloc dir + padding-tail preflight; offence labels=codes"
"2026-07-21","borealis","SP3/THNM6I/00040231","onboarded_fixed","6216","forward master-dir descriptor retry"
"2026-07-21","borealis","SP3/WLOGGX/00040228","decoded_fallback","48","canivt_descriptor_from_slots;canivt_fallback;canivt_geo_datadim"
"2026-07-21","borealis","SP3/OCDMVE/rpprpa_tab18","http_403_blocked","","fetch: cannot open URL 'https://borealisdata.ca/api/access/d"
"2026-07-21","borealis","SP3/BJ4FLO/table i-dwellings-families-pop-sexes ","decoded_fallback","105","canivt_descriptor_from_slots;canivt_fallback;canivt_geo_datadim"
"2026-07-21","borealis","SP3/Q2JJJO/ucr2agg_resp-1998-2010","decoded_fallback","1294485","canivt_descriptor_from_slots;canivt_fallback;canivt_geo_datadim"
"2026-07-21","borealis","SP/FLLHOV/June 2017 establishment counts by DA, NAICS6, ESR-9","decoded_fallback","3466306","canivt_descriptor_lenient;canivt_geo_bare_codes"
"2026-07-21","borealis","SP3/THNM6I/00040240","decoded_fallback","6155","canivt_fallback;canivt_geo_datadim"
"2026-07-21","borealis","SP3/OCDMVE/cqpprpcrrq_tab06","http_403_blocked","","fetch: cannot open URL 'https://borealisdata.ca/api/access/d"
"2026-07-21b","statcan","95F0219XDB96002","decoded_fallback","698335","canivt_fallback"
"2026-07-21b","statcan","95F0324XCB2001005","decoded_clean","127961",""
"2026-07-21b","statcan","99-012-X2011027","decoded_clean","344132",""
"2026-07-21b","statcan","1004361","decoded_clean","269457",""
"2026-07-21b","statcan","95F0430XCB2001005","decoded_fallback","18549","canivt_descriptor_from_slots"
"2026-07-21b","statcan","97-559-XCB2006012","decoded_clean","4189563",""
"2026-07-21b","statcan","98-10-0261-01","decoded_clean","396948",""
"2026-07-21b","statcan","93F0027XDB96021","decoded_clean","437",""
"2026-07-21b","statcan","93F0023XDB96001","decoded_clean","443",""
"2026-07-21b","statcan","98-10-0241-01","decoded_clean","7489464","reference-table 98100241"
"2026-07-21b","borealis","SP3/H7WG5V/EDDTAB60","decoded_clean","400",""
